cell,x,y,z,cluster,n_transcripts,density,elongation,area,avg_confidence,avg_assignment_confidence,max_cluster_frac,lifespan
CR0384e620e-146,791.509375,374.5961805555556,17.210763888888888,3,45,2.937,1.184,15.32,0.9975,0.8911,0.6666666666666666,50
CR0384e620e-147,780.4419642857143,380.20982142857144,16.8125,1,7,5.645,5.284,1.24,0.973,0.9086,1.0,50
CR0384e620e-148,775.7188176406927,389.74330357142856,17.826433982683984,3,231,4.43,2.602,52.14,0.9972,0.8921,0.9004329004329005,50
CR0384e620e-149,735.3838660245184,432.7850809982487,18.509440674255693,3,571,7.689,1.674,74.26,0.9992,0.9351,0.9474605954465849,50
CR0384e620e-150,779.7917798913044,384.87449048913044,18.372622282608695,3,92,6.146,1.311,14.97,0.9992,0.865,0.9565217391304348,50
CR0384e620e-151,727.4647120786517,436.8551615168539,17.112183988764045,4,89,3.573,1.987,24.91,0.996,0.9335,0.8426966292134831,50
CR0384e620e-152,740.4242559523809,425.70181547619046,19.050744047619048,3,525,11.23,2.132,46.73,0.9993,0.9418,0.9885714285714285,50
CR0384e620e-153,802.0890066964286,358.86151413690476,18.173642113095237,3,168,7.65,3.291,21.96,0.9993,0.9037,0.9880952380952381,50
CR0384e620e-154,796.9908021023766,362.75428473491775,18.90016567641682,4,547,9.761,1.277,56.04,0.9994,0.9146,0.9835466179159049,50
CR0384e620e-155,787.1359375,377.04765625,18.59296875,1,20,1.916,4.345,10.44,0.9198,0.918,0.65,50
CR0384e620e-156,802.1533307810107,365.41022205206735,18.931685490045943,3,653,9.916,1.488,65.85,0.9992,0.8549,0.9356814701378254,50
CR0384e620e-157,806.7546296296297,358.77777777777777,16.981047453703702,4,108,4.504,4.505,23.98,0.9994,0.9519,0.9444444444444444,50
CR0384e620e-158,748.875,420.3984375,16.7734375,3,2,NaN,NaN,NaN,0.8798,1.0,1.0,50
CR0384e620e-159,762.5879934210526,404.4860197368421,17.33675986842105,3,38,2.231,5.743,17.03,0.9728,1.0,0.7631578947368421,50
CR0384e620e-160,796.4880171263345,370.00686721530246,19.66042037366548,3,1124,14.28,1.169,78.69,0.9993,0.9054,0.9777580071174378,50
CR0384e620e-161,770.24375,398.45234375,18.6546875,3,20,6.616,5.973,3.023,0.9919,0.986,1.0,50
CR0384e620e-162,726.3932291666666,440.1775173611111,19.065538194444443,3,36,9.441,2.991,3.813,0.9993,0.8333,1.0,50
CR0384e620e-163,786.121875,382.44375,17.684375,1,40,1.808,3.427,22.12,0.9559,0.982,0.825,50
CR0384e620e-164,820.3252840909091,349.78125,17.017045454545453,3,22,1.869,1.862,11.77,0.881,0.9855,0.5454545454545454,50
CR0384e620e-165,754.171875,410.37302215189874,17.71064082278481,3,79,2.041,1.195,38.7,0.9953,0.8646,0.5316455696202531,50
CR0384e620e-166,769.9895833333334,400.5017361111111,17.401041666666668,1,9,3.077,1.362,2.925,0.9596,0.7444,0.7777777777777778,50
CR0384e620e-167,730.6194196428571,440.43080357142856,17.464285714285715,3,42,2.911,1.45,14.43,0.9925,0.8229,0.7142857142857143,50
CR0384e620e-168,794.8515625,375.447265625,17.134765625,1,8,6.154,2.199,1.3,0.9882,0.845,1.0,50
CR0384e620e-169,809.4916930379746,362.7149920886076,17.74940664556962,3,79,2.72,1.698,29.04,0.9953,0.8833,0.8354430379746836,50
CR0384e620e-170,742.6999080882352,427.5365349264706,18.752068014705884,2,68,5.565,6.245,12.22,0.9994,0.8426,0.9852941176470589,50
CR0384e620e-171,741.9893028846154,431.7599759615385,18.232572115384617,3,130,4.14,2.73,31.4,0.9966,0.8391,0.9230769230769231,50
CR0384e620e-172,792.68359375,380.8435546875,17.6939453125,3,80,2.24,1.926,35.71,0.9906,0.877,0.8,50
CR0384e620e-173,800.4447508169935,374.171977124183,21.806372549019606,3,306,10.85,1.778,28.19,0.9993,0.7658,0.9934640522875817,50
CR0384e620e-174,791.091120049505,386.86215965346537,17.466429455445546,3,101,1.839,2.089,54.93,0.9869,0.8214,0.7029702970297029,50
CR0384e620e-175,824.08203125,352.818359375,17.17578125,1,40,1.455,4.346,27.49,0.9606,0.757,0.55,50
CR0384e620e-176,778.1019736842105,394.2886513157895,17.471217105263158,1,19,2.539,4.902,7.484,0.9751,0.8937,0.9473684210526315,50
CR0384e620e-177,759.1694747740963,418.96540850903614,17.66566265060241,3,332,5.92,2.57,56.08,0.9993,0.9056,0.9307228915662651,50
CR0384e620e-178,727.2555147058823,444.69768099547514,18.458781108597286,3,221,7.868,5.759,28.09,0.9991,0.9503,0.9683257918552036,50
CR0384e620e-179,760.6623883928571,411.62193080357144,17.849888392857142,2,56,2.655,1.484,21.09,0.9885,0.955,0.5714285714285714,50
CR0384e620e-180,800.112402065527,377.5944177350427,18.777377136752136,3,351,7.826,1.884,44.85,0.9987,0.8588,0.9259259259259259,50
CR0384e620e-181,783.8726659751037,390.27872147302907,17.686073651452283,3,241,4.268,1.775,56.47,0.9972,0.9365,0.9087136929460581,50
CR0384e620e-182,774.0752467105264,401.40933388157896,17.730879934210527,3,76,2.786,1.274,27.28,0.9966,0.8487,0.7631578947368421,50
CR0384e620e-183,735.1166424418604,437.95966569767444,17.814316860465116,3,43,5.516,1.146,7.795,0.9975,0.7465,0.9302325581395349,50
CR0384e620e-184,801.4653614457832,372.4772213855422,17.72948042168675,3,166,8.388,1.958,19.79,0.9993,0.7286,0.9819277108433735,50
CR0384e620e-185,811.29638671875,358.8603515625,17.203125,3,32,4.852,1.281,6.595,0.9991,0.7581,0.90625,50
CR0384e620e-186,756.1637814748201,422.51652428057554,17.301258992805757,3,139,4.941,4.89,28.13,0.9993,0.7991,0.9784172661870504,50
CR0384e620e-187,738.7421875,439.0364583333333,17.641927083333332,3,12,3.578,2.024,3.354,0.9137,0.9883,0.8333333333333334,50
CR0384e620e-188,782.5642361111111,391.6979166666667,19.60763888888889,4,9,9.351,2.103,0.9625,0.997,0.82,1.0,50
CR0384e620e-189,754.2711074561404,416.5919682017544,18.14967105263158,2,114,3.829,3.986,29.77,0.996,0.9433,0.8596491228070176,50
CR0384e620e-190,813.30078125,363.234375,16.91015625,1,4,5.601,4.749,0.7141,0.9208,1.0,1.0,50
CR0384e620e-191,761.90625,415.44460227272725,17.42471590909091,1,11,4.542,5.875,2.422,0.9978,0.8564,1.0,50
CR0384e620e-192,815.5168269230769,359.4375,17.72716346153846,1,13,2.358,3.067,5.512,0.9832,0.8277,0.6923076923076923,50
CR0384e620e-193,811.9765625,364.953125,16.64453125,4,4,11.46,10.13,0.3491,0.9215,1.0,0.5,50
CR0384e620e-194,772.5645032051282,405.9579326923077,16.927884615384617,4,39,5.159,1.716,7.56,0.9976,0.9108,0.717948717948718,50
CR0384e620e-195,778.1328938802084,397.97802734375,19.207845052083332,3,192,5.549,2.323,34.6,0.9981,0.8893,0.9479166666666666,50
CR0384e620e-196,731.3788109756098,446.781631097561,17.339939024390244,3,82,4.332,1.674,18.93,0.9953,0.9532,0.8902439024390244,50
CR0384e620e-197,732.4975328947369,451.68174342105266,17.236019736842106,3,19,2.752,2.518,6.904,0.9797,0.8484,0.8421052631578947,50
CR0384e620e-198,809.3836805555555,367.6736111111111,18.03472222222222,1,9,5.806,2.999,1.55,0.9878,0.8933,1.0,50
CR0384e620e-199,770.1134072580645,408.4077620967742,17.354334677419356,3,31,2.016,3.839,15.38,0.9739,0.9755,0.7419354838709677,50
CR0384e620e-200,747.4951923076923,431.49158653846155,17.551682692307693,1,13,4.244,6.368,3.063,0.9919,0.8846,0.8461538461538461,50
CR0384e620e-201,731.9934210526316,449.58799342105266,17.480263157894736,1,19,2.439,3.455,7.789,0.9937,0.7232,0.9473684210526315,50
CR0384e620e-202,743.5013392857143,437.6381696428571,17.601785714285715,1,70,1.892,1.943,37.0,0.9893,0.8971,0.4714285714285714,50
